age,job,marital,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,y
42,admin.,divorced,secondary,no,1811,yes,no,may,150,1,-1,0,no
78,retired,divorced,primary,no,229,no,no,oct,97,1,-1,0,yes
32,blue-collar,married,secondary,no,2089,yes,no,nov,132,1,-1,0,yes
33,management,married,secondary,no,3935,yes,no,may,765,1,342,2,yes
23,services,single,tertiary,no,363,yes,no,may,16,18,-1,0,no
38,management,single,tertiary,no,11971,yes,no,nov,609,2,101,3,no
36,management,single,tertiary,no,553,no,no,aug,106,2,-1,0,no
52,blue-collar,married,secondary,no,1117,yes,no,may,365,1,-1,0,no
32,technician,married,tertiary,no,396,yes,no,may,205,3,-1,0,no
32,technician,single,tertiary,no,2204,yes,no,nov,11,4,-1,0,no
34,management,single,tertiary,no,872,yes,no,may,105,2,-1,0,no
55,blue-collar,married,primary,no,145,no,no,feb,59,3,5,2,no
26,blue-collar,married,primary,no,0,yes,no,may,425,1,-1,0,no
32,entrepreneur,single,primary,yes,-849,yes,yes,feb,204,1,-1,0,no
61,admin.,married,unknown,no,4629,yes,no,jan,181,1,92,1,yes
45,blue-collar,divorced,primary,no,844,no,no,jun,1018,3,-1,0,yes
37,technician,single,secondary,no,228,yes,no,aug,1740,2,-1,0,no
38,technician,single,secondary,no,50,no,no,aug,98,2,-1,0,no
34,technician,married,tertiary,no,1539,yes,no,jun,441,1,56,1,yes
53,blue-collar,married,secondary,no,2231,yes,no,jul,272,3,-1,0,no
48,admin.,married,secondary,no,3064,yes,no,jul,159,2,-1,0,no
57,management,married,secondary,no,82,no,yes,feb,140,1,-1,0,no
33,self-employed,single,tertiary,no,2155,no,no,nov,295,1,-1,0,no
36,retired,single,secondary,no,101,yes,yes,may,314,1,-1,0,no
54,technician,divorced,secondary,no,784,yes,yes,may,579,1,-1,0,no
41,blue-collar,married,primary,no,-516,no,yes,jul,554,3,-1,0,no
63,retired,married,secondary,no,415,yes,no,oct,323,1,-1,0,no
48,management,married,tertiary,no,5887,no,no,aug,227,2,-1,0,no
48,services,married,secondary,no,1355,no,no,jul,134,2,-1,0,no
56,admin.,married,secondary,no,16873,no,no,oct,223,1,-1,0,no
51,blue-collar,divorced,secondary,no,203,yes,no,may,134,1,170,5,no
31,services,married,secondary,no,338,yes,no,jan,155,1,-1,0,no
29,technician,married,secondary,no,444,yes,no,jul,130,4,-1,0,no
41,management,married,secondary,no,0,no,yes,jul,630,3,-1,0,no
32,technician,single,tertiary,no,360,no,no,nov,164,2,-1,0,no
37,management,married,tertiary,no,0,no,no,jul,268,2,182,3,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,may,380,1,-1,0,no
31,management,single,tertiary,no,6248,yes,no,may,154,2,-1,0,no
41,services,married,tertiary,no,412,yes,no,jun,154,5,-1,0,no
56,retired,married,secondary,no,344,yes,no,may,221,1,-1,0,no
54,management,divorced,tertiary,no,3222,no,no,aug,67,2,-1,0,no
41,blue-collar,divorced,secondary,no,174,yes,no,may,367,2,297,1,no
40,technician,single,secondary,no,591,no,yes,aug,87,6,-1,0,no
50,blue-collar,divorced,primary,no,388,no,no,feb,701,1,-1,0,no
40,unemployed,married,secondary,no,219,yes,no,nov,204,2,196,1,no
27,admin.,divorced,secondary,no,451,yes,no,jul,652,1,-1,0,yes
60,retired,married,primary,no,5,no,no,aug,63,2,-1,0,no
28,admin.,single,secondary,no,177,yes,yes,may,150,1,-1,0,no
52,services,married,secondary,no,657,no,no,jul,398,2,460,2,yes
37,management,married,tertiary,no,1315,no,no,jun,224,1,-1,0,yes
51,blue-collar,married,primary,no,1466,yes,no,may,406,2,-1,0,no
41,technician,single,secondary,no,879,no,yes,jul,60,4,-1,0,no
35,blue-collar,single,primary,no,293,yes,no,may,521,2,-1,0,no
38,admin.,married,secondary,no,424,yes,no,apr,279,1,-1,0,no
34,blue-collar,married,secondary,no,1831,yes,no,may,203,2,-1,0,no
39,blue-collar,married,primary,no,111,no,no,nov,201,2,-1,0,no
34,blue-collar,married,primary,no,455,yes,no,jun,372,3,-1,0,no
27,services,single,secondary,no,-195,yes,no,may,391,1,-1,0,yes
32,management,single,tertiary,no,3616,no,no,aug,165,2,-1,0,no
57,blue-collar,married,secondary,no,14093,no,no,aug,231,5,-1,0,no
41,unknown,single,tertiary,no,1567,no,no,jul,291,2,-1,0,no
41,admin.,married,tertiary,no,5426,yes,no,may,149,2,-1,0,no
30,admin.,single,tertiary,no,261,no,no,oct,233,1,137,20,no
36,blue-collar,divorced,secondary,no,2843,no,no,feb,473,1,182,1,no
31,unemployed,single,primary,no,406,no,no,feb,736,1,-1,0,yes
36,blue-collar,married,secondary,no,0,yes,no,may,337,1,-1,0,no
38,management,single,tertiary,no,493,yes,no,may,553,1,367,7,no
49,technician,married,secondary,no,5996,no,no,nov,345,2,-1,0,no
57,services,single,primary,no,3777,yes,no,may,65,2,-1,0,no
34,management,single,secondary,no,524,no,no,aug,9,1,-1,0,no
32,management,single,tertiary,no,574,yes,no,apr,259,2,145,3,no
37,blue-collar,married,secondary,no,427,yes,yes,jun,371,3,-1,0,no
33,self-employed,married,tertiary,no,483,yes,no,feb,280,2,-1,0,no
56,unemployed,married,primary,no,3391,no,no,apr,243,1,-1,0,yes
27,housemaid,married,primary,no,0,yes,no,jul,435,3,-1,0,no
21,student,single,secondary,no,2488,no,no,jun,258,6,169,3,yes
58,management,married,tertiary,no,1517,yes,no,jul,7,5,-1,0,no
32,self-employed,married,secondary,no,217,yes,yes,jul,317,5,-1,0,no
33,blue-collar,single,secondary,no,22,no,no,jan,76,2,207,1,no
25,student,single,secondary,no,331,no,no,aug,170,4,-1,0,yes
25,technician,single,secondary,no,505,no,yes,nov,386,2,-1,0,yes
30,services,married,secondary,no,1808,yes,no,may,83,2,-1,0,no
22,admin.,single,secondary,no,4111,no,yes,aug,65,1,-1,0,no
39,blue-collar,married,primary,no,52,no,no,aug,69,1,-1,0,no
46,management,divorced,tertiary,no,25,no,no,jun,564,2,-1,0,no
31,admin.,divorced,secondary,no,1890,yes,no,jul,588,1,-1,0,no
45,blue-collar,married,primary,no,419,no,no,aug,113,4,-1,0,no
32,technician,married,secondary,no,2693,yes,no,may,16,1,-1,0,no
36,blue-collar,married,secondary,no,-231,no,yes,jul,779,2,-1,0,no
51,management,single,tertiary,yes,-55,yes,no,may,281,2,266,6,no
34,self-employed,single,tertiary,no,462,no,no,aug,1877,3,-1,0,yes
24,unemployed,single,secondary,no,119,no,no,sep,51,1,-1,0,no
45,technician,single,secondary,no,586,no,yes,jul,32,3,-1,0,no
32,blue-collar,single,secondary,no,228,no,no,feb,176,1,288,3,no
77,retired,divorced,tertiary,no,4659,no,no,apr,161,1,-1,0,yes
41,blue-collar,married,primary,no,168,yes,no,nov,187,3,-1,0,no
37,blue-collar,married,primary,no,0,yes,no,may,24,1,-1,0,no
43,blue-collar,married,unknown,yes,-715,yes,no,may,67,3,-1,0,no
48,admin.,married,unknown,no,0,yes,no,may,85,1,168,2,no
27,technician,single,secondary,no,769,yes,no,may,317,2,-1,0,no
33,management,single,tertiary,no,0,no,no,aug,236,10,-1,0,no
29,admin.,single,secondary,no,428,yes,yes,may,54,1,345,2,no
34,management,single,tertiary,no,0,no,no,feb,71,1,-1,0,no
52,management,married,tertiary,no,-970,yes,no,feb,489,1,-1,0,yes
60,management,married,unknown,no,6313,no,no,jun,39,2,-1,0,no
32,management,divorced,tertiary,no,948,no,no,aug,204,2,-1,0,no
32,management,single,tertiary,no,0,yes,no,jul,455,2,-1,0,no
56,services,divorced,unknown,no,1877,yes,no,may,86,1,-1,0,no
31,management,single,tertiary,no,874,yes,no,nov,190,2,-1,0,no
42,admin.,married,secondary,no,323,yes,yes,may,280,2,-1,0,no
35,management,married,tertiary,no,106,no,yes,aug,588,2,-1,0,no
56,retired,married,primary,no,1906,no,yes,jun,45,9,-1,0,no
48,technician,married,secondary,no,1152,yes,no,jul,168,5,-1,0,no
46,admin.,married,secondary,no,179,yes,no,jan,194,4,436,1,no
37,technician,single,unknown,no,391,yes,no,may,103,3,-1,0,no
41,entrepreneur,married,unknown,no,89,yes,no,may,333,2,-1,0,no
36,management,single,tertiary,no,442,yes,yes,jul,102,3,-1,0,no
45,unemployed,divorced,primary,yes,-249,yes,yes,jul,92,1,-1,0,no
55,entrepreneur,married,secondary,no,8104,no,no,feb,213,2,-1,0,no
39,technician,married,secondary,no,501,no,no,may,289,1,-1,0,no
35,technician,divorced,secondary,no,308,no,no,aug,77,2,-1,0,no
55,admin.,married,secondary,no,602,no,no,jun,324,3,90,2,yes
55,technician,married,secondary,no,273,yes,no,jan,84,3,183,3,no
27,self-employed,single,secondary,no,50,no,no,jan,168,1,-1,0,no
34,technician,married,secondary,no,1641,yes,no,apr,380,1,-1,0,no
34,blue-collar,married,tertiary,no,20,no,no,oct,10,1,-1,0,no
25,admin.,single,secondary,no,4590,yes,no,may,199,2,-1,0,no
41,admin.,single,secondary,no,-256,no,yes,may,35,3,-1,0,no
43,services,married,secondary,no,978,yes,yes,may,82,2,-1,0,no
28,management,single,tertiary,no,80,no,no,oct,676,2,146,2,yes
31,admin.,single,secondary,no,2104,yes,no,jun,455,1,-1,0,no
78,housemaid,married,secondary,no,499,no,no,mar,80,4,-1,0,no
45,blue-collar,divorced,secondary,no,1269,yes,no,jan,549,2,-1,0,no
48,technician,married,tertiary,no,310,no,no,may,135,1,-1,0,no
32,blue-collar,single,secondary,no,1143,yes,yes,jul,412,1,-1,0,no
42,technician,married,secondary,no,2980,no,no,jun,101,3,-1,0,no
37,management,single,tertiary,no,37,no,no,jan,253,2,-1,0,no
40,admin.,single,secondary,no,462,yes,yes,apr,272,1,335,4,no
32,admin.,married,secondary,no,1031,yes,no,jul,84,1,-1,0,no
42,management,married,tertiary,no,9009,no,no,nov,135,2,-1,0,no
43,admin.,married,secondary,no,-465,yes,yes,jul,166,1,-1,0,no
44,admin.,married,secondary,no,5181,yes,yes,jul,18,7,-1,0,no
37,admin.,married,secondary,no,176,yes,no,may,147,2,347,1,no
37,unknown,married,unknown,no,1699,no,no,jun,63,1,-1,0,no
37,admin.,married,tertiary,no,0,yes,no,nov,65,2,119,1,no
28,technician,single,tertiary,no,172,yes,yes,feb,194,2,-1,0,no
32,services,single,secondary,no,0,no,yes,jul,333,2,-1,0,no
34,admin.,single,secondary,no,6979,yes,no,may,14,5,-1,0,no
40,admin.,divorced,secondary,no,6,no,no,jun,140,1,-1,0,no
34,services,married,secondary,no,-62,yes,no,jun,109,3,-1,0,no
34,self-employed,married,tertiary,no,1972,yes,no,jul,61,2,-1,0,no
34,admin.,married,tertiary,no,899,yes,no,nov,377,3,7,4,no
37,services,single,secondary,no,21,yes,no,feb,96,1,271,2,no
36,technician,married,secondary,no,23,yes,no,may,152,2,347,1,no
56,retired,married,secondary,no,-1206,yes,no,jun,382,2,-1,0,yes
49,blue-collar,married,primary,no,0,yes,yes,jul,97,6,-1,0,no
33,self-employed,married,secondary,no,215,yes,no,jul,543,12,-1,0,no
30,management,single,tertiary,no,1372,no,no,nov,240,2,-1,0,no
36,services,married,secondary,no,1981,no,no,jun,48,2,-1,0,no
23,student,single,secondary,no,9216,no,no,jun,471,2,-1,0,no
57,retired,divorced,secondary,no,39,yes,no,jul,354,3,-1,0,no
27,blue-collar,single,secondary,no,5563,yes,no,may,435,2,-1,0,no
38,services,married,secondary,no,1,no,yes,nov,152,2,-1,0,no
42,technician,married,tertiary,no,782,no,no,apr,285,1,-1,0,no
75,retired,married,secondary,no,3771,no,no,apr,185,1,181,2,yes
34,technician,single,tertiary,no,992,yes,no,may,301,1,88,2,no
48,technician,married,secondary,no,1526,no,no,aug,273,2,-1,0,no
35,technician,single,tertiary,no,2658,yes,no,aug,768,2,141,3,yes
39,management,divorced,tertiary,no,1315,yes,no,nov,1337,4,126,1,no
29,blue-collar,single,tertiary,no,455,no,no,apr,403,1,-1,0,yes
45,technician,single,tertiary,no,0,yes,no,nov,139,2,-1,0,no
42,technician,married,secondary,no,2030,yes,yes,jul,196,1,-1,0,no
29,technician,married,secondary,no,1599,yes,no,jul,115,1,61,1,no
38,services,single,secondary,no,-196,yes,no,feb,60,1,271,1,no
56,retired,married,secondary,no,1333,no,no,aug,17,14,-1,0,no
36,technician,single,secondary,no,9149,yes,no,aug,141,3,-1,0,no
25,blue-collar,single,secondary,no,-350,yes,no,jun,95,3,-1,0,no
38,technician,married,tertiary,no,432,yes,no,may,10,2,373,1,no
57,self-employed,married,secondary,no,11494,no,no,nov,198,1,-1,0,no
31,management,married,tertiary,yes,-253,no,no,aug,220,4,-1,0,no
42,management,married,tertiary,no,372,yes,no,aug,654,2,-1,0,yes
45,technician,married,secondary,no,1410,no,no,aug,71,2,-1,0,no
30,blue-collar,married,secondary,no,975,yes,no,may,256,2,351,2,no
49,blue-collar,married,primary,no,305,yes,yes,jul,834,10,-1,0,no
49,services,married,secondary,no,400,no,no,aug,151,3,-1,0,no
53,retired,married,tertiary,no,-22,yes,no,jul,20,3,-1,0,no
37,technician,married,secondary,no,4030,yes,no,may,178,5,-1,0,no
49,blue-collar,married,primary,no,365,no,no,may,59,2,-1,0,no
41,self-employed,married,primary,no,204,no,no,aug,111,7,-1,0,no
54,management,married,primary,no,1691,yes,no,nov,186,1,-1,0,no
32,services,single,secondary,no,406,yes,no,may,227,1,-1,0,no
33,technician,married,secondary,no,-204,no,no,may,297,3,-1,0,no
33,technician,married,secondary,no,359,yes,no,apr,210,1,242,1,no
36,blue-collar,married,primary,no,123,yes,no,may,9,1,-1,0,no
35,technician,married,tertiary,no,0,yes,yes,sep,112,1,62,6,no
52,unknown,married,secondary,no,142,no,no,aug,112,6,-1,0,no
40,entrepreneur,married,tertiary,no,3571,no,no,jun,222,3,-1,0,no
44,technician,single,secondary,no,33,yes,no,may,195,3,351,10,no
45,blue-collar,single,secondary,no,0,yes,no,jul,768,2,91,5,no
30,student,single,secondary,no,3096,no,no,jan,123,1,-1,0,no
48,technician,divorced,secondary,yes,20,no,no,aug,145,3,-1,0,no
33,blue-collar,married,secondary,no,3576,yes,no,apr,124,1,308,2,no
57,technician,married,unknown,no,206,yes,no,may,216,3,-1,0,no
57,housemaid,married,primary,no,7082,no,no,jun,69,3,-1,0,no
51,unemployed,married,tertiary,no,1634,yes,no,jul,168,4,-1,0,no
34,admin.,single,secondary,no,1,yes,no,jul,483,7,-1,0,no
50,self-employed,married,tertiary,no,4012,no,no,nov,690,3,-1,0,no
44,management,married,tertiary,no,3762,no,no,aug,125,12,-1,0,no
27,admin.,married,secondary,no,-247,yes,yes,jun,344,2,-1,0,no
50,blue-collar,married,secondary,no,606,yes,no,may,673,2,-1,0,no
36,management,married,tertiary,no,0,yes,no,jan,60,1,250,1,no
42,management,married,secondary,no,-189,yes,no,may,247,2,-1,0,no
32,unemployed,single,secondary,no,0,no,no,may,123,2,-1,0,no
42,management,married,tertiary,no,484,yes,no,jul,144,2,-1,0,no
43,technician,married,secondary,no,0,no,yes,may,9,2,172,5,no
31,management,married,tertiary,no,395,yes,no,feb,155,3,-1,0,no
32,management,married,tertiary,no,2349,no,no,aug,134,5,-1,0,no
55,blue-collar,divorced,primary,no,410,no,yes,jul,221,2,-1,0,no
58,retired,married,primary,no,3401,yes,no,feb,84,3,265,2,no
46,blue-collar,married,primary,no,222,no,no,aug,71,2,-1,0,no
55,blue-collar,married,secondary,no,989,yes,yes,may,246,4,-1,0,no
34,management,married,tertiary,no,415,no,yes,jul,361,2,-1,0,no
28,unemployed,single,secondary,no,16,no,no,aug,119,4,-1,0,no
42,technician,divorced,tertiary,no,7190,yes,no,jul,375,2,-1,0,no
29,blue-collar,single,secondary,no,482,no,yes,jul,1097,3,-1,0,yes
54,housemaid,married,secondary,no,209,yes,yes,jul,97,1,-1,0,no
32,technician,single,secondary,no,0,no,no,aug,181,2,-1,0,no
39,technician,single,tertiary,no,5803,no,no,feb,83,3,-1,0,no
53,entrepreneur,married,tertiary,no,624,no,yes,jul,180,4,-1,0,no
58,technician,married,tertiary,no,883,no,no,aug,543,1,78,2,no
40,self-employed,married,secondary,no,1516,yes,yes,may,373,1,-1,0,no
29,student,single,secondary,no,872,yes,no,may,230,1,-1,0,no
33,technician,married,tertiary,no,-988,yes,yes,jul,83,3,-1,0,no
38,admin.,single,secondary,no,902,yes,no,jul,58,13,-1,0,no
56,services,divorced,secondary,no,1007,no,no,jul,88,6,-1,0,no
40,services,married,secondary,no,0,yes,no,jun,297,1,28,3,no
24,blue-collar,single,secondary,no,174,yes,yes,may,487,1,-1,0,yes
46,management,married,secondary,no,12186,no,no,jun,29,3,-1,0,no
35,self-employed,married,secondary,no,524,yes,no,nov,484,4,-1,0,no
35,blue-collar,single,tertiary,no,0,yes,no,jul,262,4,-1,0,no
34,technician,married,secondary,no,4,yes,no,may,644,1,-1,0,no
35,housemaid,married,tertiary,no,11219,no,no,aug,699,2,79,1,no
38,technician,single,tertiary,no,0,no,no,aug,247,2,-1,0,no
50,blue-collar,married,primary,no,5776,no,no,nov,49,3,-1,0,no
51,blue-collar,divorced,primary,no,37,yes,no,may,341,1,-1,0,no
59,self-employed,married,tertiary,no,593,no,no,may,64,2,-1,0,no
32,blue-collar,married,secondary,no,1148,yes,no,apr,121,1,-1,0,no
37,blue-collar,single,secondary,no,3561,yes,no,jun,98,1,-1,0,no
42,admin.,divorced,secondary,no,63,no,no,may,88,6,-1,0,no
40,student,married,secondary,no,260,no,no,jun,197,6,-1,0,no
28,technician,single,tertiary,no,2269,yes,no,may,331,1,-1,0,no
47,admin.,married,secondary,no,1060,yes,no,jun,83,3,-1,0,no
27,self-employed,married,secondary,no,-220,yes,no,may,138,2,-1,0,no
41,management,married,tertiary,no,49,yes,no,jul,312,5,-1,0,no
34,admin.,married,tertiary,no,69,no,yes,aug,120,3,1,6,yes
50,blue-collar,married,primary,no,4108,yes,no,aug,526,2,-1,0,yes
47,blue-collar,married,secondary,no,480,yes,no,may,211,2,-1,0,no
53,services,married,secondary,no,4994,no,no,aug,62,6,-1,0,no
53,technician,divorced,secondary,no,0,yes,yes,jul,135,5,-1,0,no
47,management,married,tertiary,no,3681,no,no,aug,101,2,-1,0,no
49,entrepreneur,divorced,unknown,yes,-701,yes,no,jul,988,2,-1,0,yes
29,management,married,tertiary,no,451,no,no,jan,451,1,-1,0,no
45,blue-collar,divorced,primary,no,-311,yes,no,may,1030,1,-1,0,yes
38,entrepreneur,married,secondary,no,593,yes,yes,jul,1484,24,-1,0,yes
32,blue-collar,married,secondary,no,759,yes,no,apr,317,5,-1,0,yes
70,retired,divorced,primary,no,4531,no,no,may,445,1,-1,0,no
65,retired,divorced,primary,no,1840,no,no,jun,383,2,188,5,no
56,blue-collar,married,secondary,no,345,yes,no,jul,605,1,-1,0,no
35,blue-collar,married,secondary,no,1287,yes,no,jul,330,2,-1,0,no
56,management,married,unknown,no,353,no,yes,jul,171,2,-1,0,no
56,technician,married,secondary,no,205,no,yes,jul,442,2,-1,0,no
49,entrepreneur,married,secondary,no,687,yes,no,apr,772,1,-1,0,yes
38,unemployed,married,primary,no,1147,yes,yes,may,249,5,-1,0,no
35,management,married,tertiary,no,4286,yes,no,may,357,1,-1,0,no
38,admin.,married,tertiary,no,605,no,no,nov,147,2,-1,0,no
49,blue-collar,married,secondary,no,8545,yes,yes,may,199,7,167,1,no
55,management,married,unknown,no,559,no,no,jan,271,2,-1,0,no
43,blue-collar,single,primary,no,2,yes,no,jul,783,3,-1,0,no
43,management,married,tertiary,no,2,no,yes,aug,472,2,-1,0,no
25,admin.,single,tertiary,no,760,yes,no,may,223,3,89,2,yes
30,blue-collar,married,primary,no,1317,yes,no,may,395,2,-1,0,no
46,blue-collar,married,secondary,no,182,no,no,feb,56,1,-1,0,no
50,admin.,married,primary,no,276,no,yes,jun,641,6,-1,0,no
35,entrepreneur,married,secondary,no,2971,no,no,may,429,4,164,2,yes
26,unemployed,single,secondary,no,1064,no,no,may,113,1,-1,0,no
45,admin.,married,unknown,no,1783,no,no,jun,11,11,-1,0,no
37,blue-collar,married,secondary,no,-67,no,no,feb,157,1,-1,0,no
60,self-employed,single,tertiary,no,179,no,yes,jul,79,4,-1,0,no
38,management,married,tertiary,no,1199,no,no,aug,178,1,1,1,yes
47,blue-collar,married,primary,no,214,yes,yes,jun,168,1,-1,0,no
33,technician,married,secondary,no,6699,no,no,nov,425,1,462,1,no
51,unemployed,married,secondary,no,1760,no,yes,nov,162,1,-1,0,no
35,entrepreneur,single,tertiary,no,145,yes,no,jul,799,2,-1,0,yes
35,unemployed,married,secondary,no,978,no,no,dec,1370,3,209,3,yes
48,admin.,single,secondary,no,1150,yes,no,may,357,1,-1,0,no
37,admin.,married,secondary,no,121,no,no,jul,22,6,-1,0,no
29,technician,single,tertiary,no,828,yes,no,apr,215,3,321,3,no
34,admin.,married,secondary,no,244,yes,no,jul,56,4,-1,0,no
32,services,married,primary,no,228,yes,no,jul,1017,6,-1,0,yes
30,management,single,tertiary,no,424,no,no,apr,298,4,-1,0,yes
47,management,divorced,tertiary,no,447,no,yes,may,126,1,-1,0,no
33,blue-collar,married,primary,no,-195,no,no,sep,9,1,-1,0,no
33,management,single,tertiary,no,1410,yes,no,feb,8,1,254,5,no
63,retired,married,primary,no,1084,no,no,oct,201,1,183,1,no
51,self-employed,divorced,primary,no,10924,no,no,may,106,2,-1,0,no
41,management,married,tertiary,no,832,yes,yes,nov,164,1,176,1,no
56,retired,married,tertiary,no,478,no,no,feb,97,1,-1,0,no
60,management,single,tertiary,no,0,no,yes,jul,151,1,-1,0,no
41,self-employed,single,tertiary,no,3950,yes,no,may,96,2,-1,0,no
37,management,single,unknown,no,504,yes,no,apr,555,1,-1,0,no
36,blue-collar,single,secondary,no,219,yes,yes,may,270,2,347,1,no
57,management,married,tertiary,no,1602,no,no,jul,339,3,-1,0,no
55,management,married,primary,no,2587,no,no,sep,328,2,94,2,yes
44,admin.,married,secondary,no,0,yes,yes,may,159,1,-1,0,no
47,self-employed,married,tertiary,no,2303,yes,no,may,323,2,364,1,no
31,blue-collar,married,secondary,no,1660,yes,no,apr,342,1,-1,0,no
35,management,married,tertiary,yes,32,yes,no,nov,180,1,-1,0,no
39,management,married,tertiary,no,278,no,yes,jul,60,3,-1,0,no
50,management,married,tertiary,no,4,no,no,nov,223,1,96,2,no
29,management,married,tertiary,no,318,yes,no,may,1434,2,356,4,no
30,services,single,secondary,no,209,yes,no,may,30,2,-1,0,no
46,services,married,secondary,no,271,yes,no,may,134,4,-1,0,no
27,management,single,unknown,no,3196,no,no,feb,10,2,-1,0,no
48,admin.,divorced,secondary,no,4099,no,no,apr,397,2,-1,0,yes
26,student,single,secondary,no,2572,yes,no,may,620,1,-1,0,no
36,management,single,tertiary,no,339,no,no,nov,6,6,-1,0,no
42,blue-collar,married,primary,no,0,yes,yes,may,209,2,-1,0,no
50,housemaid,married,primary,no,395,yes,no,may,419,2,-1,0,no
49,blue-collar,married,secondary,no,2039,yes,no,nov,283,2,-1,0,no
45,management,married,tertiary,no,5450,no,no,aug,188,2,-1,0,no
23,student,single,secondary,no,780,no,no,sep,267,1,-1,0,no
38,technician,single,secondary,no,0,yes,no,apr,196,2,-1,0,no
32,management,single,tertiary,no,8436,yes,no,apr,245,1,149,2,no
60,technician,single,primary,no,11262,no,no,aug,323,1,-1,0,yes
30,entrepreneur,married,secondary,no,946,yes,no,nov,1065,1,183,1,no
58,housemaid,married,tertiary,no,497,no,no,jun,138,5,-1,0,no
60,retired,married,primary,no,55,no,no,jun,207,1,-1,0,no
38,services,married,secondary,no,-140,no,no,jun,456,3,-1,0,no
51,technician,married,secondary,no,-379,yes,no,aug,261,1,-1,0,no
42,admin.,married,secondary,no,-396,yes,no,may,80,1,308,4,no
30,services,single,secondary,no,0,yes,no,may,131,6,363,9,no
40,management,married,primary,no,733,yes,no,jun,94,7,-1,0,no
37,management,married,tertiary,no,393,yes,no,may,567,3,275,4,yes
53,technician,divorced,primary,no,7290,yes,no,may,153,1,-1,0,no
27,services,single,secondary,no,468,yes,no,may,109,1,-1,0,no
39,blue-collar,married,secondary,no,0,yes,no,apr,53,1,325,1,no
39,blue-collar,married,primary,no,3705,yes,no,jun,77,1,-1,0,no
59,retired,married,tertiary,no,9676,no,no,mar,234,2,-1,0,yes
37,services,married,secondary,no,1328,yes,no,may,121,2,341,4,no
41,blue-collar,married,primary,no,8,yes,no,jul,155,2,-1,0,no
45,blue-collar,married,primary,no,61,no,no,apr,108,1,-1,0,no
48,management,married,tertiary,no,6613,no,no,jun,159,3,-1,0,no
48,technician,married,secondary,no,302,yes,no,may,208,3,-1,0,no
32,blue-collar,married,secondary,no,1005,no,no,may,215,1,-1,0,no
35,services,married,secondary,no,109,yes,no,may,597,3,-1,0,no
33,management,single,tertiary,no,1240,yes,no,feb,505,2,260,1,no
28,blue-collar,single,primary,no,0,yes,yes,jun,380,4,-1,0,no
64,retired,married,unknown,no,2923,no,no,mar,120,1,-1,0,no
35,technician,married,secondary,no,0,no,no,aug,106,4,-1,0,no
33,blue-collar,married,secondary,no,43,yes,no,may,332,2,358,2,no
41,technician,married,secondary,no,288,yes,no,may,221,4,-1,0,no
34,admin.,married,secondary,no,613,yes,no,jun,80,1,-1,0,no
37,technician,single,tertiary,no,6101,no,no,may,60,5,87,1,no
